名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
唯享影音,体育休闲服务,影剧院,电影院,公明街道长春北路202号永辉大厦2层,广东省,深圳市,宝安区,113.8910612,22.79166171
碧头电影院(碧头路店),体育休闲服务,影剧院,电影院,松岗镇,广东省,深圳市,宝安区,113.8095917,22.78451121
期遇·UUE巨幕影城(合水口店),体育休闲服务,影剧院,电影院,马田北路新天地购物广场3层,广东省,深圳市,宝安区,113.8756271,22.79021041
中影UUE巨幕影城,体育休闲服务,影剧院,电影院,光明办事处光明新区公明街道合水口新天地购物广场(原亿佰家商场)3楼,广东省,深圳市,宝安区,113.8759165,22.79013769
百誉影城(公明店),体育休闲服务,影剧院,电影院,公明街道宝安路11号欧式堡商城3层,广东省,深圳市,宝安区,113.8846165,22.78398679
5D影院(潮流荟购物广场北),体育休闲服务,影剧院,影剧院相关,长春中路南一巷7-2公明中心商城2层,广东省,深圳市,宝安区,113.8860142,22.78376255
保利院线万厅影城(公明店),体育休闲服务,影剧院,电影院,公明街道松白路5036号潮流荟购物广场3层,广东省,深圳市,宝安区,113.8862096,22.78094958
中影百誉影城(上域店),体育休闲服务,影剧院,电影院,民生大道宏发上域商场4层401,广东省,深圳市,宝安区,113.9027709,22.78471409
中影南方国际影院(万汇城店),体育休闲服务,影剧院,电影院,公明办事处光明新区公明街道民生路71号万汇城4楼,广东省,深圳市,宝安区,113.9033352,22.78480091
烧烤音乐吧,体育休闲服务,影剧院,音乐厅,新村六巷与葫芦路交叉口北100米,广东省,深圳市,宝安区,113.8161935,22.77893727
中影百盛国际影城,体育休闲服务,影剧院,电影院,沙江路136号3层,广东省,深圳市,宝安区,113.8292537,22.77674461
正佳影院(文化馆店),体育休闲服务,影剧院,电影院,公明街道振明路文化馆C座1层,广东省,深圳市,宝安区,113.8984281,22.77694936
中影UL城市影院(坪地店),体育休闲服务,影剧院,电影院,坪地浩天购物广场4层(坪洲百货旁),广东省,深圳市,龙岗区,114.3019975,22.77148661
优优国际影城(浩天购物广场店),体育休闲服务,影剧院,电影院,坪地街道3034号浩天购物广场4层,广东省,深圳市,龙岗区,114.3018937,22.77126686
星晨国际影城(永辉超市店),体育休闲服务,影剧院,电影院,宝安大道星际家园1栋永辉超市3层,广东省,深圳市,宝安区,113.8277964,22.76743789
星河影城(喜港城店),体育休闲服务,影剧院,电影院,松岗街道东方大道C区喜港城3层,广东省,深圳市,宝安区,113.8384417,22.76748354
中影星河电影城(松岗店),体育休闲服务,影剧院,影剧院相关,松岗街道东方大道C区喜港城(华润万家)3层,广东省,深圳市,宝安区,113.8376186,22.76724714
动感5D影院,体育休闲服务,影剧院,影剧院相关,宝利来步行街104号宝宝龙欢乐园内,广东省,深圳市,宝安区,113.8460532,22.76612026
mini私人影院体验馆,体育休闲服务,影剧院,电影院,松岗街道金开路东方二六大厦1层(近东方大道),广东省,深圳市,宝安区,113.8476472,22.76498129
百线国际影城,体育休闲服务,影剧院,电影院,东方大道36号联投东方商场3层,广东省,深圳市,宝安区,113.8545358,22.76316079
影院(联投东方PARK),体育休闲服务,影剧院,电影院,东方大道36号联投东方PARKF3层,广东省,深圳市,宝安区,113.8543092,22.76367928
miii私人影院,体育休闲服务,影剧院,电影院,宝利来步行街60号附近,广东省,深圳市,宝安区,113.8477886,22.76508649
时代凤凰国际影城(楼岗大道店),体育休闲服务,影剧院,电影院,楼岗大道80-5号集信大厦3层,广东省,深圳市,宝安区,113.8478014,22.76862138
南港村戏院,体育休闲服务,影剧院,剧场,吉祥一路25-6号附近,广东省,深圳市,龙岗区,114.2809875,22.76308126
华夏君盛影院,体育休闲服务,影剧院,电影院,坪地街道龙岗大道3018号宜城Park三楼,广东省,深圳市,龙岗区,114.3007533,22.76998824
集鸿发国际影城,体育休闲服务,影剧院,电影院,井镇后亭社区惠尔乐购物商城3层,广东省,深圳市,宝安区,113.8160826,22.7567342
