名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
快网网络会所(朝阳店),体育休闲服务,娱乐场所,网吧,朝阳路,广东省,深圳市,宝安区,113.8655958,22.82251157
风云战线网吧(北部店),体育休闲服务,娱乐场所,网吧,朝阳路燕川北部工业园南100米,广东省,深圳市,宝安区,113.8653674,22.82187552
塘下涌连锁网吧(雄宇店),体育休闲服务,娱乐场所,网吧,沙井新区富塘路中国邮政塘一邮政代办所西,广东省,深圳市,宝安区,113.8379422,22.81641193
新恒富网络会所,体育休闲服务,娱乐场所,网吧,塘下涌社区安润路2号一栋,广东省,深圳市,宝安区,113.8397278,22.81828446
同富裕网吧,体育休闲服务,娱乐场所,网吧,松岗镇塘下涌三村同富裕工业区松塘路18号,广东省,深圳市,宝安区,113.8377648,22.81642161
文锋网络会所,体育休闲服务,娱乐场所,网吧,松岗镇塘下涌雄宇路15号一栋2楼,广东省,深圳市,宝安区,113.8382743,22.81297777
网络会所(新幸福网吧),体育休闲服务,娱乐场所,网吧,松岗镇塘下涌雄宇路15号一栋2楼,广东省,深圳市,宝安区,113.8379175,22.81106381
塘下涌网吧(雄宇店),体育休闲服务,娱乐场所,网吧,富塘路与雄宇路交叉口西北50米,广东省,深圳市,宝安区,113.8376939,22.8119211
雄宇网吧(雄宇店),体育休闲服务,娱乐场所,网吧,松岗街道塘下涌社区雄宇路,广东省,深圳市,宝安区,113.8377781,22.81201622
星晨网吧(燕山大道)(装修中),体育休闲服务,娱乐场所,网吧,燕川燕山大道31号,广东省,深圳市,宝安区,113.8536765,22.81395028
快网网络会所(红湖店),体育休闲服务,娱乐场所,网吧,红湖路130号2楼,广东省,深圳市,宝安区,113.8593452,22.81625372
极客网咖,体育休闲服务,娱乐场所,网吧,燕川朝阳路78号富比伦工业园七天优品酒店1层,广东省,深圳市,宝安区,113.8653047,22.81520486
志静网咖(象山店),体育休闲服务,娱乐场所,网吧,象山大道200号,广东省,深圳市,宝安区,113.8763999,22.81261324
晨阳网吧,体育休闲服务,娱乐场所,网吧,公明办事处李松萌第二工业区荣泰佳工业园,广东省,深圳市,宝安区,113.8848689,22.8136906
情深网吧,体育休闲服务,娱乐场所,网吧,光明办事处光明新区李松朗第二工业区龙辉工业园,广东省,深圳市,宝安区,113.8860934,22.8136902
速达网吧,体育休闲服务,娱乐场所,网吧,西田路55-10号附近,广东省,深圳市,宝安区,113.9018138,22.81097921
宏豪网络会所(英特尔8核网吧旗舰店),体育休闲服务,娱乐场所,网吧,工业大道与恒瑞四路交叉口南150米,广东省,深圳市,宝安区,113.8339495,22.80437494
新富恒网吧,体育休闲服务,娱乐场所,网吧,富塘路9号1栋2楼,广东省,深圳市,宝安区,113.8358042,22.8067675
众福网络会所,体育休闲服务,娱乐场所,网吧,塘下涌众福路79号(俭朴寨2楼),广东省,深圳市,宝安区,113.836367,22.80288489
真有趣网吧,体育休闲服务,娱乐场所,网吧,凤祥路6号,广东省,深圳市,宝安区,113.836339,22.80211411
幸福网吧(幸福路),体育休闲服务,娱乐场所,网吧,塘下涌幸福三村恒瑞二路13号,广东省,深圳市,宝安区,113.836821,22.80535585
幸福利网吧,体育休闲服务,娱乐场所,网吧,松岗镇塘下涌,广东省,深圳市,宝安区,113.8373527,22.80114129
汇盈网吧(和通路),体育休闲服务,娱乐场所,网吧,松岗街道塘下涌广田路147号,广东省,深圳市,宝安区,113.8371079,22.80366296
海洋舰网吧时代店,体育休闲服务,娱乐场所,网吧,松岗街道燕川社区北六巷8号,广东省,深圳市,宝安区,113.8604112,22.80515614
海洋舰网咖,体育休闲服务,娱乐场所,网吧,燕川社区怡情路40号,广东省,深圳市,宝安区,113.8615337,22.80371316
寻知音网咖(洪泰店),体育休闲服务,娱乐场所,网吧,红湖路68号2层,广东省,深圳市,宝安区,113.8592445,22.80784259
网吧(洪泰店),体育休闲服务,娱乐场所,网吧,红湖路13号附近,广东省,深圳市,宝安区,113.8592666,22.80769867
风云战线网吧(洪湖店),体育休闲服务,娱乐场所,网吧,红湖路62号,广东省,深圳市,宝安区,113.8585321,22.80589428
快网网络会所(广田店),体育休闲服务,娱乐场所,网吧,松岗街道燕川社区广田路与朝阳路交界永佳百货2楼,广东省,深圳市,宝安区,113.8643782,22.80868405
星晨网吧(燕川东七巷),体育休闲服务,娱乐场所,网吧,燕川北巷与公园路交叉口南行130米,广东省,深圳市,宝安区,113.8608825,22.80124615
海洋舰网咖(飞鱼店),体育休闲服务,娱乐场所,网吧,燕川红湖路塘尾小区1巷1号,广东省,深圳市,宝安区,113.8592685,22.80927911
如意人网吧,体育休闲服务,娱乐场所,网吧,怡情路3号2楼,广东省,深圳市,宝安区,113.8595065,22.80077244
聚天下网吧,体育休闲服务,娱乐场所,网吧,松岗街道燕川村红湖路21号2楼,广东省,深圳市,宝安区,113.8577263,22.80500545
志静网咖(罗田西路),体育休闲服务,娱乐场所,网吧,水厂路与燕川东路交叉口东南50米,广东省,深圳市,宝安区,113.8658477,22.80134143
网咖,体育休闲服务,娱乐场所,网吧,红湖路102号附近,广东省,深圳市,宝安区,113.8592765,22.80936709
