名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
酷乐迪歌吧,体育休闲服务,娱乐场所,KTV,广田路与日升路交叉口东北100米,广东省,深圳市,宝安区,113.8747607,22.82095681
新惠联量贩式KTV,体育休闲服务,娱乐场所,KTV,象山大道与龙山六路交叉口东北100米,广东省,深圳市,宝安区,113.878549,22.81673448
新惠联娱乐,体育休闲服务,娱乐场所,KTV,象山大道与龙山六路交叉口东北100米,广东省,深圳市,宝安区,113.8784268,22.81682436
唐朝量贩式KTV,体育休闲服务,娱乐场所,KTV,广田路246号南岭酒店10层,广东省,深圳市,宝安区,113.8363519,22.80412143
星潮娱乐会所KTV酒吧,体育休闲服务,娱乐场所,酒吧,松岗街道塘下涌盛和广场二楼(家家乐百货斜对面),广东省,深圳市,宝安区,113.8359079,22.8016155
星潮娱乐会所,体育休闲服务,娱乐场所,KTV,松岗街道塘下涌盛和广场二楼,广东省,深圳市,宝安区,113.8361445,22.80166991
歌吧,体育休闲服务,娱乐场所,KTV,乐康路与富塘路交叉口西南100米,广东省,深圳市,宝安区,113.8357241,22.80612458
华东KTV,体育休闲服务,娱乐场所,KTV,富塘路7号,广东省,深圳市,宝安区,113.835698,22.80617851
华东娱乐城,体育休闲服务,娱乐场所,娱乐场所,富塘路32对面,广东省,深圳市,宝安区,113.8357521,22.8061926
畅爽K吧,体育休闲服务,娱乐场所,KTV,三村夜市步行街与幸福路交叉口北50米,广东省,深圳市,宝安区,113.8371358,22.80638106
动感时空量贩式KTV,体育休闲服务,娱乐场所,KTV,塘下涌三村美惠多超市4层,广东省,深圳市,宝安区,113.8373,22.81006105
酷玩地带,体育休闲服务,娱乐场所,KTV,松岗富塘路美惠多购物广场,广东省,深圳市,宝安区,113.8373772,22.81028611
蜻蜓KTV,体育休闲服务,娱乐场所,KTV,水厂路与燕川东路交叉口东南50米,广东省,深圳市,宝安区,113.8657395,22.80126233
星辰时尚量贩式KTV(松岗店),体育休闲服务,娱乐场所,KTV,燕川洪湖路32-1号4楼维也纳酒店4楼,广东省,深圳市,宝安区,113.8579388,22.80454792
金松源K歌会所,体育休闲服务,娱乐场所,KTV,公明办事处李松朗美沃百货三楼,广东省,深圳市,宝安区,113.8798689,22.80174378
宇都印象量贩式KTV,体育休闲服务,娱乐场所,KTV,公明李松蓢松明路联防队对面燕景酒店3-4楼,广东省,深圳市,宝安区,113.8854954,22.802176
梦之声量贩式KTV(西田路),体育休闲服务,娱乐场所,KTV,西田路,广东省,深圳市,宝安区,113.8954671,22.80720401
欢乐年华量贩式KTV(西田路),体育休闲服务,娱乐场所,KTV,西田路41-6号附近,广东省,深圳市,宝安区,113.8957804,22.80656626
好心情量贩式KTV(江豪商业步行街),体育休闲服务,娱乐场所,KTV,江豪商业步行街与炮台路交叉口东150米,广东省,深圳市,宝安区,113.8904996,22.80853568
雄鹰量贩式KTV,体育休闲服务,娱乐场所,KTV,众福路21-2号2层,广东省,深圳市,宝安区,113.8379433,22.80002874
醉清风音乐清吧,体育休闲服务,娱乐场所,酒吧,松岗塘下涌文化广场后面,广东省,深圳市,宝安区,113.839377,22.80001632
Rucy Bar音乐烧烤清吧,体育休闲服务,娱乐场所,酒吧,燕罗公路37号附近,广东省,深圳市,宝安区,113.8563064,22.80054596
沙尾辉煌酒吧,体育休闲服务,娱乐场所,酒吧,松岗街道燕川第二工业区,广东省,深圳市,宝安区,113.8589256,22.79548247
全友娱乐城,体育休闲服务,娱乐场所,夜总会,朝阳路与燕罗公路交叉口南50米,广东省,深圳市,宝安区,113.8625281,22.79840531
歌巢量贩式KTV(环胜大道),体育休闲服务,娱乐场所,KTV,燕罗公路161号附近,广东省,深圳市,宝安区,113.8609267,22.79906897
宝发娱乐城(燕川店),体育休闲服务,娱乐场所,娱乐场所,松岗街道燕川社区燕罗公路燕峰大厦2-3层,广东省,深圳市,宝安区,113.862475,22.79859318
Rock98量贩式KTV,体育休闲服务,娱乐场所,KTV,燕罗公路190号(罗田市场对面),广东省,深圳市,宝安区,113.8680311,22.79870289
摇滚98Club,体育休闲服务,娱乐场所,酒吧,燕罗公路与高田大道交叉口西南50米,广东省,深圳市,宝安区,113.8680802,22.79872294
摇滚98量贩式KTV,体育休闲服务,娱乐场所,KTV,燕罗公路与高田大道交叉口西南50米,广东省,深圳市,宝安区,113.8682134,22.79878407
金旺达休闲都汇,体育休闲服务,娱乐场所,KTV,燕罗公路与龙井路交叉口东北50米,广东省,深圳市,宝安区,113.8734508,22.79999207
悠然轩休闲会所(高田大道),体育休闲服务,娱乐场所,娱乐场所|生活服务,高田大道兴百盛商场3-5层,广东省,深圳市,宝安区,113.8680992,22.79941672
盛世唛朝,体育休闲服务,娱乐场所,KTV,公明街道下村社区水贝路38号昌宏百货三楼(下村公园侧),广东省,深圳市,宝安区,113.8808278,22.79344831
唱享时空,体育休闲服务,娱乐场所,KTV,公常路220号附近,广东省,深圳市,宝安区,113.9401234,22.7932796
世纪歌王,体育休闲服务,娱乐场所,KTV,凤新路143号,广东省,深圳市,宝安区,113.9435058,22.79298013
喜乐多歌吧,体育休闲服务,娱乐场所,KTV,圳美旧围728号亿华盛苑附近,广东省,深圳市,宝安区,113.9407176,22.79297558
星空量贩式KTV,体育休闲服务,娱乐场所,KTV,光明新区圳美同富裕工业园荔山商业街,广东省,深圳市,宝安区,113.9510246,22.79784136
老人娱乐中心,体育休闲服务,娱乐场所,娱乐场所,松岗街道碧头街1号二楼,广东省,深圳市,宝安区,113.8082712,22.78450882
名仕酒吧,体育休闲服务,娱乐场所,酒吧,碧头集贸市场,广东省,深圳市,宝安区,113.8064076,22.78128655
熙园·音乐酒吧,体育休闲服务,娱乐场所,酒吧,贤达路82号附近,广东省,深圳市,宝安区,113.8344302,22.78271025
琵琶语KTV,体育休闲服务,娱乐场所,KTV,马田路与下工一路交叉口旁,广东省,深圳市,宝安区,113.8765416,22.78985031
天盛广场,体育休闲服务,娱乐场所,娱乐场所,光明新区马田北路33,广东省,深圳市,宝安区,113.8757783,22.79049045
魅力纯K音乐会所(公明店),体育休闲服务,娱乐场所,KTV,马田北路新天地购物广场3层,广东省,深圳市,宝安区,113.8753296,22.79043907
金岛酒吧,体育休闲服务,娱乐场所,酒吧,公明街道康德街63号(近天和百货广场),广东省,深圳市,宝安区,113.8850168,22.78666009
钱箱量贩式KTV(公明店),体育休闲服务,娱乐场所,KTV,建设中路四巷8号,广东省,深圳市,宝安区,113.8863526,22.7840746
心动西湖园K歌会所,体育休闲服务,娱乐场所,KTV,明街道公平街52号,广东省,深圳市,宝安区,113.8852581,22.78735398
灵感吧KTV,体育休闲服务,娱乐场所,KTV,下村路131号附近,广东省,深圳市,宝安区,113.8852831,22.78753893
溜冰城KTV,体育休闲服务,娱乐场所,KTV,长春中路南一巷7-2,广东省,深圳市,宝安区,113.8859181,22.78371952
多来咪会所,体育休闲服务,娱乐场所,KTV|生活服务,创维路26-1号,广东省,深圳市,宝安区,113.8852303,22.78383615
钱箱量贩式KTV(金安路),体育休闲服务,娱乐场所,KTV,公民镇光明新区建设中路公明天虹商场斜侧,广东省,深圳市,宝安区,113.8851653,22.78255655
新兴欢乐城,体育休闲服务,娱乐场所,娱乐场所,民生大道363号附近,广东省,深圳市,宝安区,113.8828379,22.78832333
金湖隆会所,体育休闲服务,娱乐场所,KTV,光明新区公明公平路52号,广东省,深圳市,宝安区,113.8850849,22.78728892
北极光KTV,体育休闲服务,娱乐场所,KTV,公明镇,广东省,深圳市,宝安区,113.8860012,22.78371956
舞蹈娱乐中心,体育休闲服务,娱乐场所,娱乐场所,下村路附近,广东省,深圳市,宝安区,113.8810353,22.79034851
花样年华,体育休闲服务,娱乐场所,KTV,松白路5038号三和百货F1,广东省,深圳市,宝安区,113.8860994,22.7819452
家乐迪量贩式KTV(公明店),体育休闲服务,娱乐场所,KTV,光明新区民生大道红花山工业区1栋2楼,广东省,深圳市,宝安区,113.8929503,22.78719363
夜明珠酒吧(民生大道),体育休闲服务,娱乐场所,酒吧,公明民生路268号,广东省,深圳市,宝安区,113.8882375,22.78779613
上海滩KTV,体育休闲服务,娱乐场所,KTV,振明路145-4号,广东省,深圳市,宝安区,113.888448,22.78363461
乐Music Bar,体育休闲服务,娱乐场所,酒吧,公明办事处光明新区公明广场富豪花园C区3栋一楼,广东省,深圳市,宝安区,113.8900288,22.78126193
能量MUSIC CLUB,体育休闲服务,娱乐场所,KTV,长春南路1排3号,广东省,深圳市,宝安区,113.8883531,22.78130935
汉唐休闲会所,体育休闲服务,娱乐场所,娱乐场所|生活服务,长春路17号5层,广东省,深圳市,宝安区,113.8887934,22.78285599
万紫千红,体育休闲服务,娱乐场所,KTV,振明路145-28号,广东省,深圳市,宝安区,113.8872177,22.7822246
奥斯卡会所(红花北路),体育休闲服务,娱乐场所,KTV,红花北路上辇路口2号,广东省,深圳市,宝安区,113.8990469,22.78566841
零度酒吧(公明店),体育休闲服务,娱乐场所,酒吧,公明街道宏发上域10栋A23,广东省,深圳市,宝安区,113.9010731,22.78567913
泰迪吧,体育休闲服务,娱乐场所,酒吧,公明街道宏发上域10栋A23,广东省,深圳市,宝安区,113.9012031,22.78607198
根据地Bar,体育休闲服务,娱乐场所,酒吧,别墅路8-55号附近,广东省,深圳市,宝安区,113.9020077,22.78358365
唯乐清吧,体育休闲服务,娱乐场所,酒吧,公明街道民生路宏发上域花园3号楼B33、B35号商铺,广东省,深圳市,宝安区,113.9006099,22.78396279
V-LOVE休闲清吧,体育休闲服务,娱乐场所,酒吧,光明新区公明街道民生路宏发上域花园3号楼B33号商铺,广东省,深圳市,宝安区,113.90065,22.78396678
Ted bar(泰迪吧),体育休闲服务,娱乐场所,迪厅,公明街道宏发上域花园10号楼A23-A25商铺,广东省,深圳市,宝安区,113.9011121,22.78563814
宜居台球棋牌俱乐部,体育休闲服务,娱乐场所,娱乐场所,民生大道北50米,广东省,深圳市,宝安区,113.8974518,22.78724497
宝行国际俱乐部,体育休闲服务,娱乐场所,娱乐场所,公明办事处公明街道华发北路40号,广东省,深圳市,宝安区,113.9042733,22.78907518
美图酒吧(凯雷斯顿店),体育休闲服务,娱乐场所,酒吧,华发北路与公明北环大道交汇处凯雷斯顿酒店,广东省,深圳市,宝安区,113.9056297,22.78955054
