名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
如意桔场休闲农庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,广东省,深圳市,宝安区,113.908498,22.84179544
山水美钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,广东省,深圳市,宝安区,113.8566995,22.82952511
常乐钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,广东省,深圳市,宝安区,113.9425591,22.82437787
高速光纤上网,体育休闲服务,体育休闲服务场所,体育休闲服务场所,富塘路148号附近,广东省,深圳市,宝安区,113.837707,22.81061659
山水美农庄钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,燕山大道西100米,广东省,深圳市,宝安区,113.854061,22.82018861
李松蓢钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,S33(南光高速),广东省,深圳市,宝安区,113.8820192,22.81261437
渔乐钓场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,八航下大道与八航大道交叉口东北100米,广东省,深圳市,宝安区,113.8862004,22.81590045
心开光明顶山庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,西田路,广东省,深圳市,宝安区,113.902775,22.81543838
松明钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,公明办事处铁坑水库东450米,广东省,深圳市,宝安区,113.9145247,22.81634694
华美圣健身,体育休闲服务,体育休闲服务场所,体育休闲服务场所,塘下涌富塘路7号华东服装城,广东省,深圳市,宝安区,113.835699,22.8062155
新高飞网吧,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广田路270号,广东省,深圳市,宝安区,113.8309076,22.80153928
神话溜冰场,体育休闲服务,运动场馆,溜冰场|体育休闲服务,松岗镇塘下涌星佳购物广场3层,广东省,深圳市,宝安区,113.8380665,22.80185633
鱼塘边球场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,塘下涌新二村七巷六号1号铺,广东省,深圳市,宝安区,113.8377786,22.80372116
瑜熙瑜伽馆,体育休闲服务,运动场馆,健身中心,塘下涌一村一巷23号(泰和豪苑),广东省,深圳市,宝安区,113.8412518,22.80186001
止戈武道训练馆(幸福路),体育休闲服务,运动场馆,运动场所,三村夜市步行街与幸福路交叉口西南100米,广东省,深圳市,宝安区,113.8367789,22.80540875
KAKA清吧,体育休闲服务,体育休闲服务场所,体育休闲服务场所,塘下涌众福路71号,广东省,深圳市,宝安区,113.8365244,22.80271923
高速光纤上网,体育休闲服务,体育休闲服务场所,体育休闲服务场所,富塘路148号附近,广东省,深圳市,宝安区,113.837707,22.81061659
皇豪休闲会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,松岗街道燕川村红湖路塘尾新村14号,广东省,深圳市,宝安区,113.8592786,22.80755274
康力100健身俱乐部(公园路),体育休闲服务,运动场馆,健身中心,松岗街道燕川社区怡情路42栋2层,广东省,深圳市,宝安区,113.8614104,22.80348207
莉娜瑜伽社,体育休闲服务,运动场馆,健身中心,燕川西路与红湖路交汇处西南50米,广东省,深圳市,宝安区,113.8573576,22.80427918
诺姆瑜伽馆,体育休闲服务,运动场馆,健身中心,松岗街道燕川土湖小区西16巷1号2楼,广东省,深圳市,宝安区,113.8575079,22.80431138
纤韵瑜伽,体育休闲服务,运动场馆,健身中心,罗田西路与高田大道交叉口北50米,广东省,深圳市,宝安区,113.8686701,22.80163858
羽林跆拳道馆,体育休闲服务,运动场馆,跆拳道场馆,高田大道80号附近,广东省,深圳市,宝安区,113.8688965,22.80120898
公明李松蓢社区体育中心,体育休闲服务,运动场馆,运动场所,光明新区公明街道办,广东省,深圳市,宝安区,113.8830438,22.80900227
87台球室,体育休闲服务,运动场馆,台球厅,公明办事处公明李松蓈西区436号,广东省,深圳市,宝安区,113.8818205,22.80457809
鑫松源休闲会所,体育休闲服务,体育休闲服务场所,体育休闲服务场所,公明李松蓢美沃百货三楼,广东省,深圳市,宝安区,113.8798689,22.80174378
公明李松蓢社区体育中心田径场,体育休闲服务,运动场馆,运动场所,屋园路南150米,广东省,深圳市,宝安区,113.8829857,22.80924715
巨人健身,体育休闲服务,运动场馆,健身中心,光明新区公明李松朗新村一栋二楼,广东省,深圳市,宝安区,113.8852931,22.80319354
四季天天健身俱乐部,体育休闲服务,运动场馆,健身中心,公明西田村西田公园往李松蓢方向前100米处右手边2楼,广东省,深圳市,宝安区,113.8941321,22.80508563
蓝翔溜冰城,体育休闲服务,运动场馆,溜冰场,公明办事处公明镇西田综合市场,广东省,深圳市,宝安区,113.8957743,22.80711806
兵哥台球,体育休闲服务,运动场馆,台球厅,西田路与新村七巷交叉口北200米,广东省,深圳市,宝安区,113.8959997,22.80425008
米诺台球馆,体育休闲服务,运动场馆,台球厅,光明新区光明新区公明镇西田村西田路40号2楼,广东省,深圳市,宝安区,113.8959818,22.80222879
天天健身俱乐部,体育休闲服务,运动场馆,健身中心,西田路24号附近,广东省,深圳市,宝安区,113.8956866,22.80122213
西田球场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,公明镇西田村,广东省,深圳市,宝安区,113.8967703,22.80372229
金目巨鱼垂钓俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,广东省,深圳市,宝安区,113.9093596,22.803402
渔乐农庄,体育休闲服务,体育休闲服务场所,体育休闲服务场所,振兴路32号附近,广东省,深圳市,宝安区,113.9259919,22.80268484
群星钓鱼场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,广东省,深圳市,宝安区,113.918843,22.81039126
新羌球场,体育休闲服务,运动场馆,足球场,光侨北路,广东省,深圳市,宝安区,113.9369888,22.80100762
京东-ROCK旗舰店,体育休闲服务,体育休闲服务场所,体育休闲服务场所,松岗镇塘下涌朗月路20号四楼,广东省,深圳市,宝安区,113.8326284,22.7974829
宝安区振武国粹武道培训,体育休闲服务,运动场馆,运动场所,一村新区四巷与乐安路交叉口东北50米,广东省,深圳市,宝安区,113.8410353,22.79958342
名爵休闲吧,体育休闲服务,体育休闲服务场所,体育休闲服务场所,和通路28号附近,广东省,深圳市,宝安区,113.8394071,22.80029628
动岚健身(堡骏店),体育休闲服务,运动场馆,健身中心,松岗塘下涌众福路17号(三诺电子厂旁),广东省,深圳市,宝安区,113.8379964,22.79995287
9098休闲,体育休闲服务,体育休闲服务场所,体育休闲服务场所,朗东路与燕罗公路交叉口西50米,广东省,深圳市,宝安区,113.8585575,22.79926064
红润莊,体育休闲服务,体育休闲服务场所,体育休闲服务场所,燕罗公路199号,广东省,深圳市,宝安区,113.8659239,22.79919727
金旺达K歌会,体育休闲服务,体育休闲服务场所,体育休闲服务场所,燕罗公路佳兴商行旁,广东省,深圳市,宝安区,113.8736812,22.8002442
金万达休闲都会,体育休闲服务,体育休闲服务场所,体育休闲服务场所,罗田社区燕罗公路267号(罗田幼儿园正门),广东省,深圳市,宝安区,113.8731242,22.80063454
下村运动中心,体育休闲服务,运动场馆,运动场所,下村路东150米,广东省,深圳市,宝安区,113.8837837,22.79473769
东宝体育场,体育休闲服务,运动场馆,综合体育馆,下村路东100米,广东省,深圳市,宝安区,113.8835484,22.79534634
下村足球场,体育休闲服务,运动场馆,足球场,公明办事处下村新村一排94栋附近,广东省,深圳市,宝安区,113.8831289,22.79488426
